,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,age_bin
0,January,Monday,Based on C/W on Scene,POM,SGT,Y,PSB,0,MENACING,18,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,WHITE,5.1,170.0,MED,BRO,BLK,1,G,PBMS,MANHATTAN,unknown
1,January,Monday,Based on Radio Run,POM,SGT,N,PSB,1,CPW,15,Y,N,N,(null),N,Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),MALE,BLACK HISPANIC,6.1,250.0,HEA,BRO,BLK,34,C,PBMN,MANHATTAN,18_30
2,January,Monday,Based on Radio Run,POM,SGT,Y,Housing,0,GRAND LARCENY,10,Y,N,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,WHITE HISPANIC,5.5,150.0,THN,BRO,BLD,43,B,PBBX,BRONX,over_30
3,January,Monday,Based on Radio Run,POM,SGT,Y,PSB,2,ROBBERY,15,Y,Y,Y,ROBBERY,N,Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),Y,Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),MALE,AMERICAN INDIAN/ALASKAN NATIVE,5.1,160.0,MED,BRO,BLK,63,B,PBBS,BROOKLYN,over_30
4,January,Monday,Based on Radio Run,POM,SGT,Y,PSB,2,ROBBERY,15,Y,Y,Y,ROBBERY,N,Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),Y,Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),MALE,WHITE,5.11,230.0,MED,BRO,BLK,63,B,PBBS,BROOKLYN,over_30
5,January,Monday,Based on Self Initiated,POM,SGT,Y,PSB,1,UNAUTHORIZED USE OF A VEHICLE,15,Y,N,N,(null),N,Y,(null),(null),(null),Y,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK,5.1,150.0,THN,BRO,BLK,67,C,PBBS,BROOKLYN,18_30
6,January,Monday,Based on Self Initiated,POM,SSA,Y,PSB,1,CPW,10,Y,Y,Y,CPW,N,Y,(null),(null),(null),Y,Y,Y,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),MALE,BLACK,5.7,215.0,HEA,BRO,BLK,67,B,PBBS,BROOKLYN,over_30
7,January,Monday,Based on Self Initiated,POM,SSA,Y,PSB,1,CPW,10,Y,Y,Y,CPW,N,Y,(null),(null),(null),Y,Y,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),MALE,BLACK,5.8,170.0,XXX,BRO,BLK,67,B,PBBS,BROOKLYN,over_30
8,January,Monday,Based on Self Initiated,POM,SSA,Y,PSB,1,CPW,10,Y,Y,Y,CPW,N,Y,(null),(null),(null),Y,Y,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),MALE,BLACK,6.1,185.0,XXX,BRO,BLK,67,B,PBBS,BROOKLYN,18_30
9,January,Monday,Based on Self Initiated,POM,SSA,Y,PSB,1,CPW,10,Y,Y,Y,CPW,N,Y,(null),(null),(null),Y,Y,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),MALE,BLACK,6.1,190.0,XXX,BRO,BLK,67,B,PBBS,BROOKLYN,over_30
